n_people,n_encounters,n_events,palette_colour_name,type_description,palette_code,type_code,intensity_type,intensity_severity_risk,clinical_focus,service_type,service_location,population_age,facility_name,building_name,unit_name,location_category,location_grouping,location_type,site_key,facility_key,building_key,unit_key
1,1,2,Older Adults - Intake,Clerical Intake - Older Adults,73,36,"Intake, Assessment",Clerical Intake,"Frailty, Non-Specific or Mixed",Intake-Clerical,Ambulatory Clinic,Older Adults Exclusively,Seniors Health - Intake and Screening,"Grant Avenue, Nanaimo",Seniors Intake - Nanaimo,NA,NA,Unclassified,NA,SHICSR,GRAN,ITNA
1,1,2,Older Adults - Intake,Clerical Intake - Older Adults,73,36,"Intake, Assessment",Clerical Intake,"Frailty, Non-Specific or Mixed",Intake-Clerical,Ambulatory Clinic,Older Adults Exclusively,Seniors Health SI,"Memorial Pavillion, SH-Victoria",Seniors intake-Victoria,Other,Other,Unclassified,NA,SHSI,MP,ITVI
1,1,2,Psychiatric Consultation Services - Ambulatory,Psychiatric [only] Clinic Services - Adults,84,42,Ambulatory-Mixed,Ambulatory Mixed-Moderate Intensity,MHSU,Ambulatory-Mixed,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,"NRGH, Nanaimo - MHAS",Psychiatrist Only - NRGH,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,NRGN,PONR
1,1,1,Psychiatric Consultation Services - Ambulatory,Psychiatric [only] Clinic Services - Adults,84,42,Ambulatory-Mixed,Ambulatory Mixed-Moderate Intensity,MHSU,Ambulatory-Mixed,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Case Management,Royal Jubilee Eric Martin Pavilion,General Psychiatry Psychiatrist only Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCM,EMP,PGES
1,1,2,Psychiatric Consultation Services - Ambulatory,Psychiatric [only] Clinic Services - Adults,84,42,Ambulatory-Mixed,Ambulatory Mixed-Moderate Intensity,MHSU,Ambulatory-Mixed,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Case Management,"Wentworth, Nanaimo - MHSU",Psychiatrist Only - Wentworth,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCM,WENT,PODU
1,2,4,Psychology - Developmental Disabilities,Psychology - Developmental Disabilities,86,38,Ambulatory-Chronic,Ambulatory Chronic Care-High Intensity,"Developmental - Phys,Cog,Psych",Assessment-Intensive,Community,Mixed Ages,Mental Health & Addictions Services Community Care,Island Mental Health,Developmental Disability Mental Health  Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,IMH,IMST
1,2,4,Psychology - Developmental Disabilities,Psychology - Developmental Disabilities,86,38,Ambulatory-Chronic,Ambulatory Chronic Care-High Intensity,"Developmental - Phys,Cog,Psych",Assessment-Intensive,Community,Mixed Ages,MHSU - Community - DDMHT,Island Mental Health,Developmental Disability Mental Health  Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCDD,IMH,IMST
1,1,1,Psychology -Neuropsychology - C&Y,Psychology -Neuropsychology - C&Y,85,37,Ambulatory-Episodic,Ambulatory Episodic-High Intensity,"Developmental - Phys,Cog,Psych",Assessment-Intensive,Ambulatory Clinic,"Children, Adolescents","Child, Youth Family Health - Rehab",Cross Program Services,Neuropsychology,Other,Other,Unclassified,NA,CYFHR,CPS,NEPS
1,3,6,Residential Care - MHSU - Crisis Residential (secondary level),Residential Care - MHSU - Crisis Residential (secondary level),61,30,Residential Care,"Medium Intensity Res Care - Bridging, Crisis",MHSU,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Residential Care,"Safe Harbour, Nanaimo - MHAS",Safe Harbour,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHASRC-CI,SAFN,SHNA
1,4,8,Residential Care - MHSU - Crisis Residential (secondary level),Residential Care - MHSU - Crisis Residential (secondary level),61,30,Residential Care,"Medium Intensity Res Care - Bridging, Crisis",MHSU,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Crisis,"Safe Harbour, Nanaimo - MHSU",Safe Harbour,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRCR,SAFN,SHNA
1,1,2,Residential Care - MHSU - Crisis Residential (secondary level),Residential Care - MHSU - Crisis Residential (secondary level),61,30,Residential Care,"Medium Intensity Res Care - Bridging, Crisis",MHSU,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Crisis,"Safe Harbour, Nanaimo - MHSU",Safe Harbour Bridge,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRCR,SAFN,SHBN
1,1,192,Residential Care - MHSU - Daily Support - Licensed (secondary level),Residential Care - MHSU - Daily Support - Licensed (secondary level),60,29,Residential Care,Licensed Residential Care,MHSU,Res Care-MHSU-Licensed,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Glengarry,Glengarry-TCU,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,GLENGARRY,TCUGL
1,1,1,Residential Care - MHSU - Daily Support - Licensed (secondary level),Residential Care - MHSU - Daily Support - Licensed (secondary level),60,29,Residential Care,Licensed Residential Care,MHSU,Res Care-MHSU-Licensed,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Greenridge,GREE,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,GREE,GREE
1,1,2,Residential Care - MHSU - Daily Support - Licensed (secondary level),Residential Care - MHSU - Daily Support - Licensed (secondary level),60,29,Residential Care,Licensed Residential Care,MHSU,Res Care-MHSU-Licensed,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Group Homes Licensed,Styles Apts,Styles,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRGHL,STYLE,ST
1,1,2,Residential Care - MHSU - Lower Support (secondary level),Residential Care - MHSU - Lower Support (secondary level),58,26,Residential Care,Lower Intensity Res Care,MHSU,Res Care-MHSU -- Supported Independent Living,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Mike Gidora Place,MIKE,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,MIKE,MIKE
1,1,2,Residential Care - MHSU - Lower Support (secondary level),Residential Care - MHSU - Lower Support (secondary level),58,26,Residential Care,Lower Intensity Res Care,MHSU,Res Care-MHSU -- Supported Independent Living,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Supported Appts,Burdett,Burdett,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSA,BUSI,BURD
1,1,2,Residential Care - MHSU - Lower Support (secondary level),Residential Care - MHSU - Lower Support (secondary level),58,26,Residential Care,Lower Intensity Res Care,MHSU,Res Care-MHSU -- Supported Independent Living,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Supported Appts,Medewiwin,MEDE,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSA,MEDEW,MEDE
1,1,2,Seniors outreach (secondary level),Seniors outreach (secondary level),90,4,Ambulatory-Episodic,"High-Intensity Assessment, Intake, Referral","Frailty, Non-Specific or Mixed",Assessment-Intensive,Home,Older Adults Exclusively,Seniors Health - Community - Mental Health Outreach,"Grant Avenue, Nanaimo",Seniors Outreach Team - Nanaimo,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,SHOAL,GRAN,SONA
1,1,30,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 7 North East - General Surgery and Surgical Telemetry,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,7NER
1,1,110,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 7 South East - General Surgery and Complex Wound Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,7SER
1,1,64,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 6 South East - General Surgery and Bone Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,6SER
1,1,174,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 7 South West - General Surgery and Complex Wound Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,7SWR
1,1,168,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - South 6B - Neurosurgery/High Acuity Neuro,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,S6B
1,1,114,"Surgical - Pre, Post",Surgery - Post - Acute Care,92,148,Surgery,Surgical-Post-Acute Care,Surgical,Surgical-Post-Acute Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - South 6B - Neurosurgery/High Acuity Neuro,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,S6B
1,9,23,"Surgical - Pre, Post",Surgery - Prep - Recovery - Mixed Ages,92,142,Surgery,"Surgical-Care, Support",Surgical,"Surgery-Prep, Recovery",Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Post Anaesthetic Care Unit,Procedure,Operating Room,OR/PARR,NA,RJHAC,MAIN,PACU-R
1,1,2,Surgical - Procedure,Surgery - Misc Ambulatory Services,93,149,Surgery,"Surgical-Care, Support",Surgical,"Surgery-Ambulatory Prep, Procedure",Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Plastic Surgery Urgent Access Teaching Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,PUAC
1,1,2,Surgical - Procedure,Surgery - Misc Ambulatory Services,93,149,Surgery,"Surgical-Care, Support",Surgical,"Surgery-Ambulatory Prep, Procedure",Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Surgical Suture Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,SSC
1,1,2,Wound Care,Wound Care,97,118,Ambulatory-Episodic,Ambulatory Episodic-Low Intensity,Wound Care,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Outpatient Burn & Wound Care Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,OBWC
